ds,y,humidity,temp,gtrends_allergie,gtrends_pollen allergie,gtrends_heuschnupfen,gtrends_pollen,influenza,pollution_Zurich_no2,pollution_Zurich_o3,pollution_Zurich_pm10,pollution_Zurich_pm25,pollution_Zurich_so2
2021-01-04,2.2758268171461657,85.89460076984125,273.66822330634864,134,0,0,49,4.0,9.02857142857142,11.2714285714285,13.4285714285714,2.14285714285714,0.528571428571428
2021-01-11,2.0460735849136835,79.24855699873014,271.1832912507932,106,33,0,41,2.0,9.91428571428571,10.6,16.5714285714285,2.57142857142857,0.385714285714285
2021-01-18,2.4585872230547885,85.10807610222218,273.54557805238034,115,0,34,44,0.0,12.5,14.8571428571428,11.7142857142857,2.0,0.285714285714285
2021-01-25,2.018890156707174,79.32708032730154,275.1140999349202,135,70,52,96,0.0,16.0714285714285,15.7,7.85714285714285,2.14285714285714,0.542857142857142
2021-02-01,2.2142806827849597,84.91089466079363,276.657216207936,150,40,0,99,0.0,7.87142857142857,19.9571428571428,6.28571428571428,1.14285714285714,0.257142857142857
2021-02-08,1.7914160804882604,85.34242005984122,279.05383741745993,141,24,22,81,1.0,10.4714285714285,10.5428571428571,9.57142857142857,2.57142857142857,0.428571428571428
2021-02-15,2.456826853056379,74.84481721936507,271.94228836984075,209,13,133,60,4.0,11.1571428571428,16.8285714285714,15.2857142857142,2.71428571428571,0.483333333333333
2021-02-22,3.288923033541692,73.21030177539677,279.7887818968248,200,128,57,257,1.0,15.6285714285714,6.87142857142857,15.2857142857142,3.85714285714285,1.0
2021-03-01,3.4004070813216773,68.22354497354493,281.0469841269838,150,94,73,191,0.0,13.3428571428571,8.4,33.1428571428571,3.57142857142857,1.0
2021-03-08,2.151767607220389,71.71300667126748,279.0865753278118,80,12,70,83,2.0,13.0285714285714,10.7285714285714,20.2857142857142,3.28571428571428,0.785714285714285
2021-03-15,3.7025265280785353,67.16666666666663,278.7858267195762,173,142,58,211,0.0,6.22857142857142,25.3142857142857,11.0,1.57142857142857,0.285714285714285
2021-03-22,3.5429595862299506,65.32010582010578,275.8245171957667,154,97,34,147,1.0,7.94285714285714,22.9571428571428,9.28571428571428,1.28571428571428,0.3
2021-03-29,3.190252918529877,63.52976190476186,281.3775992063487,237,149,32,379,0.0,9.77142857142857,19.7285714285714,11.7142857142857,2.0,0.585714285714285
2021-04-05,3.3342322021232897,56.42129629629627,284.5346494708992,206,137,118,253,2.0,9.01428571428571,23.9857142857142,15.5714285714285,2.0,0.457142857142857
2021-04-12,3.380803187560611,60.43716931216925,278.92663359788315,151,85,43,168,2.0,6.57142857142857,27.1857142857142,8.14285714285714,1.2,0.319999999999999
2021-04-19,2.1572601336781627,61.8002645502645,278.35208994708955,229,63,98,150,0.0,6.97142857142857,24.8857142857142,12.0,1.57142857142857,0.242857142857142
2021-04-26,2.7072847981168233,58.69312169312164,284.41169312169257,208,14,0,126,0.0,7.84285714285714,31.2428571428571,14.2857142857142,1.57142857142857,0.399999999999999
2021-05-03,2.4863369362521257,76.34126984126982,283.1314219576714,195,82,74,127,0.0,6.2,27.8428571428571,12.7142857142857,1.57142857142857,0.3
2021-05-10,2.0524122619123744,66.62830687830682,285.120899470899,189,8,57,51,0.0,5.42857142857142,28.5428571428571,7.42857142857142,1.28571428571428,0.3
2021-05-17,3.132100021210298,77.42328042328036,283.5613425925921,134,30,0,56,0.0,4.4,24.7857142857142,5.85714285714285,1.0,0.257142857142857
